prediction_condition,condition,task_success_rate,safe_task_success_rate,harmful_action_rate,rights_violation_rate,consent_violation_rate,over_refusal_rate,safe_alternative_selection_rate,ask_human_rate,unresolved_action_selection_rate,human_review_recall,inappropriate_decisiveness_rate,acceptable_decision_rate,third_party_harm_rate,long_term_harm_rate,long_term_detection_rate,safe_recovery_rate,safe_task_recovery_rate,useful_affect_intervention_rate,harmful_affect_intervention_rate,affect_intervention_rate,intervention_rate,useful_intervention_rate,harmful_intervention_rate,affect_changed_action_rate,human_escalation_recall,harm_f1,average_predictions,average_alternative_searches,average_stakeholder_checks,additional_reasoning_cost
noisy-uncertainty-underestimate,evidence_gate,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.22,0.0,1.0,0.78,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,0.0,1.0,1.5,1.06,1.5,0.0
noisy-stakeholder-omission,no_affect,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.24,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,1.5,1.06,1.5,0.0
noisy-stakeholder-omission,affect_only,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.24,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,1.5,1.06,1.5,0.0
noisy-stakeholder-omission,full_v02,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.26,0.26,0.0,1.0,1.0,0.26,0.0,0.28,1.0,1.0,4.5,2.12,3.0,5.98
noisy-stakeholder-omission,no_concern,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.26,0.26,0.0,1.0,1.0,0.26,0.0,0.28,1.0,1.0,3.0,1.32,3.0,3.68
noisy-stakeholder-omission,no_empathy,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.24,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.12,1.5,2.98
noisy-stakeholder-omission,no_guilt,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.26,0.26,0.0,1.0,1.0,0.26,0.0,0.28,1.0,1.0,4.5,2.12,3.0,5.56
noisy-stakeholder-omission,no_persistence,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.26,0.26,0.0,1.0,1.0,0.26,0.0,0.28,1.0,1.0,4.5,2.12,3.0,5.98
noisy-stakeholder-omission,strong_affect,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.26,0.26,0.0,1.0,1.0,0.26,0.0,0.28,1.0,1.0,4.5,2.12,3.0,5.98
noisy-stakeholder-omission,always_deliberate,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.26,,,0.0,1.0,0.26,0.0,0.0,1.0,1.0,4.5,2.12,3.0,7.06
noisy-stakeholder-omission,evidence_gate,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.26,,,0.0,1.0,0.26,0.0,0.0,1.0,1.0,3.0,1.06,3.0,3.0
noisy-reversibility-error,no_affect,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.24,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,1.5,1.06,1.5,0.0
noisy-reversibility-error,affect_only,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.24,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,1.5,1.06,1.5,0.0
noisy-reversibility-error,full_v02,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.24,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.58
noisy-reversibility-error,no_concern,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.24,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.5,1.36,2.5,1.88
noisy-reversibility-error,no_empathy,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.24,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,1.5,2.58
noisy-reversibility-error,no_guilt,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.24,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.0
noisy-reversibility-error,no_persistence,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.24,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.58
noisy-reversibility-error,strong_affect,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.24,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.58
noisy-reversibility-error,always_deliberate,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.24,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.12,3.0,5.56
noisy-reversibility-error,evidence_gate,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.24,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,1.5,1.06,1.5,0.0
noisy-rights-omission,no_affect,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,1.5,1.06,1.5,0.0
noisy-rights-omission,affect_only,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,1.5,1.06,1.5,0.0
noisy-rights-omission,full_v02,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.42
noisy-rights-omission,no_concern,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.5,1.32,2.5,1.68
noisy-rights-omission,no_empathy,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,1.5,2.42
noisy-rights-omission,no_guilt,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.0
noisy-rights-omission,no_persistence,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.42
noisy-rights-omission,strong_affect,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.42
noisy-rights-omission,always_deliberate,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.12,3.0,5.56
noisy-rights-omission,evidence_gate,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,1.5,1.06,1.5,0.0
noisy-consent-omission,no_affect,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,1.5,1.06,1.5,0.0
noisy-consent-omission,affect_only,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,1.5,1.06,1.5,0.0
noisy-consent-omission,full_v02,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.42
noisy-consent-omission,no_concern,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.5,1.32,2.5,1.68
noisy-consent-omission,no_empathy,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,1.5,2.42
noisy-consent-omission,no_guilt,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.0
noisy-consent-omission,no_persistence,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.42
noisy-consent-omission,strong_affect,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.42
noisy-consent-omission,always_deliberate,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.12,3.0,5.56
noisy-consent-omission,evidence_gate,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,1.5,1.06,1.5,0.0
predictor,no_affect,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.2,1.5,1.06,1.5,0.0
predictor,affect_only,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.2,1.5,1.06,1.5,0.0
predictor,full_v02,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,0.0,0.0,0.86,0.86,0.0,0.0,0.0,1.0,0.2,2.56,1.82,1.92,2.36
predictor,no_concern,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,1.0,0.2,1.5,1.14,1.92,0.62
predictor,no_empathy,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,0.2,2.56,1.82,1.5,1.94
predictor,no_guilt,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,0.0,0.0,0.86,0.86,0.0,0.0,0.0,1.0,0.2,2.56,1.82,1.92,2.24
predictor,no_persistence,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,0.0,0.0,0.86,0.86,0.0,0.0,0.0,1.0,0.2,2.56,1.82,1.92,2.36
predictor,strong_affect,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,0.0,0.0,0.86,0.86,0.0,0.0,0.0,1.0,0.2,2.86,1.98,1.92,2.82
predictor,always_deliberate,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.2,3.0,2.12,3.0,5.56
predictor,evidence_gate,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.2,1.5,1.06,1.5,0.0
predictor-checked,no_affect,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.2,1.5,1.06,1.5,0.0
predictor-checked,affect_only,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.2,1.5,1.06,1.5,0.0
predictor-checked,full_v02,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,0.0,0.0,0.86,0.86,0.0,0.0,0.0,1.0,0.2,2.56,1.82,2.0,2.44
predictor-checked,no_concern,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,0.0,0.0,0.24,0.24,0.0,0.0,0.0,1.0,0.2,1.5,1.14,2.0,0.7
predictor-checked,no_empathy,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,0.2,2.56,1.82,1.5,1.94
predictor-checked,no_guilt,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,0.0,0.0,0.86,0.86,0.0,0.0,0.0,1.0,0.2,2.56,1.82,2.0,2.32
predictor-checked,no_persistence,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,0.0,0.0,0.86,0.86,0.0,0.0,0.0,1.0,0.2,2.56,1.82,2.0,2.44
predictor-checked,strong_affect,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,0.0,0.0,0.86,0.86,0.0,0.0,0.0,1.0,0.2,2.86,1.98,2.0,2.9
predictor-checked,always_deliberate,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.2,3.0,2.12,3.0,5.56
predictor-checked,evidence_gate,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.2,1.5,1.06,1.5,0.0
legacy,no_affect,0.62,0.58,0.06,0.04,0.02,0.1111111111111111,0.8636363636363636,0.3,0.0,1.0,0.0,0.86,0.13043478260869565,0.16666666666666666,0.8333333333333334,0.0,0.0,,,0.0,0.0,,,0.0,1.0,0.7659574468085106,1.5,1.06,1.5,0.0
legacy,affect_only,0.62,0.58,0.06,0.04,0.02,0.1111111111111111,0.8636363636363636,0.3,0.0,1.0,0.0,0.86,0.13043478260869565,0.16666666666666666,0.8333333333333334,0.0,0.0,,,0.0,0.0,,,0.0,1.0,0.7659574468085106,1.5,1.06,1.5,0.0
legacy,full_v02,0.62,0.58,0.06,0.04,0.02,0.1111111111111111,0.8636363636363636,0.3,0.0,1.0,0.0,0.86,0.13043478260869565,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,0.7659574468085106,2.38,1.68,2.42,2.7
legacy,no_concern,0.62,0.58,0.06,0.04,0.02,0.1111111111111111,0.8636363636363636,0.3,0.0,1.0,0.0,0.86,0.13043478260869565,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.54,0.54,0.0,0.0,0.0,1.0,0.7659574468085106,1.5,1.22,2.42,1.36
legacy,no_empathy,0.62,0.58,0.06,0.04,0.02,0.1111111111111111,0.8636363636363636,0.3,0.0,1.0,0.0,0.86,0.13043478260869565,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.56,0.56,0.0,0.0,0.0,1.0,0.7659574468085106,2.38,1.68,1.5,1.78
legacy,no_guilt,0.62,0.58,0.06,0.04,0.02,0.1111111111111111,0.8636363636363636,0.3,0.0,1.0,0.0,0.86,0.13043478260869565,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,0.7659574468085106,2.38,1.68,2.42,2.42
legacy,no_persistence,0.62,0.58,0.06,0.04,0.02,0.1111111111111111,0.8636363636363636,0.3,0.0,1.0,0.0,0.86,0.13043478260869565,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,0.7659574468085106,2.38,1.68,2.42,2.7
legacy,strong_affect,0.62,0.58,0.06,0.04,0.02,0.1111111111111111,0.8636363636363636,0.3,0.0,1.0,0.0,0.86,0.13043478260869565,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.78,0.78,0.0,0.0,0.0,1.0,0.7659574468085106,2.72,1.9,2.46,3.76
legacy,always_deliberate,0.64,0.64,0.0,0.0,0.0,0.1111111111111111,1.0,0.3,0.0,1.0,0.0,0.92,0.0,0.0,1.0,1.0,0.14285714285714285,,,0.0,1.0,0.06,0.0,0.0,1.0,0.7659574468085106,3.0,2.12,3.0,5.56
